travelCode,userCode,name,place,days,price,total,date,stay_year,stay_month,stay_day,stay_weekday,stay_cost_per_day
363,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2022-05-12,2022,5,12,Thursday,139.1
369,3,Hotel AU,Recife (PE),3,312.83,938.49,2022-06-23,2022,6,23,Thursday,312.83
373,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,2022-07-21,2022,7,21,Thursday,60.39
377,3,Hotel A,Florianopolis (SC),4,313.02,1252.08,2022-08-18,2022,8,18,Thursday,313.02
382,3,Hotel K,Salvador (BH),2,263.41,526.82,2022-09-22,2022,9,22,Thursday,263.41
383,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2022-09-29,2022,9,29,Thursday,313.02
385,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,2022-10-13,2022,10,13,Thursday,60.39
387,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2022-10-27,2022,10,27,Thursday,139.1
388,3,Hotel BD,Natal (RN),4,242.88,971.52,2022-11-03,2022,11,3,Thursday,242.88
394,3,Hotel K,Salvador (BH),4,263.41,1053.64,2022-12-15,2022,12,15,Thursday,263.41
397,3,Hotel AU,Recife (PE),4,312.83,1251.32,2023-01-05,2023,1,5,Thursday,312.83
398,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,2023-01-12,2023,1,12,Thursday,60.39
403,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2023-02-16,2023,2,16,Thursday,139.1
404,3,Hotel Z,Aracaju (SE),1,208.04,208.04,2023-02-23,2023,2,23,Thursday,208.04
406,3,Hotel BD,Natal (RN),2,242.88,485.76,2023-03-09,2023,3,9,Thursday,242.88
408,3,Hotel K,Salvador (BH),1,263.41,263.41,2023-03-23,2023,3,23,Thursday,263.41
409,3,Hotel K,Salvador (BH),3,263.41,790.23,2023-03-30,2023,3,30,Thursday,263.41
410,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,2023-04-06,2023,4,6,Thursday,60.39
412,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2023-04-20,2023,4,20,Thursday,313.02
415,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2023-05-11,2023,5,11,Thursday,165.99
417,3,Hotel BD,Natal (RN),2,242.88,485.76,2023-05-25,2023,5,25,Thursday,242.88
418,3,Hotel AU,Recife (PE),1,312.83,312.83,2023-06-01,2023,6,1,Thursday,312.83
419,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,2023-06-08,2023,6,8,Thursday,60.39
424,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2023-07-13,2023,7,13,Thursday,165.99
426,4,Hotel AU,Recife (PE),2,312.83,625.66,2019-10-03,2019,10,3,Thursday,312.83
431,4,Hotel AU,Recife (PE),4,312.83,1251.32,2019-11-07,2019,11,7,Thursday,312.83
432,4,Hotel AU,Recife (PE),3,312.83,938.49,2019-11-14,2019,11,14,Thursday,312.83
440,4,Hotel K,Salvador (BH),3,263.41,790.23,2020-01-09,2020,1,9,Thursday,263.41
442,4,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-01-23,2020,1,23,Thursday,208.04
445,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-02-13,2020,2,13,Thursday,165.99
447,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-02-27,2020,2,27,Thursday,139.1
450,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-03-19,2020,3,19,Thursday,60.39
452,4,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-04-02,2020,4,2,Thursday,313.02
456,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2020-04-30,2020,4,30,Thursday,165.99
457,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-05-07,2020,5,7,Thursday,60.39
468,4,Hotel Z,Aracaju (SE),1,208.04,208.04,2020-07-23,2020,7,23,Thursday,208.04
473,4,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2020-08-27,2020,8,27,Thursday,139.1
481,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-10-22,2020,10,22,Thursday,313.02
486,4,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-11-26,2020,11,26,Thursday,208.04
490,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-12-24,2020,12,24,Thursday,165.99
491,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-12-31,2020,12,31,Thursday,313.02
494,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-01-21,2021,1,21,Thursday,139.1
498,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2021-02-18,2021,2,18,Thursday,165.99
500,4,Hotel K,Salvador (BH),2,263.41,526.82,2021-03-04,2021,3,4,Thursday,263.41
501,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2021-03-11,2021,3,11,Thursday,165.99
503,4,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-03-25,2021,3,25,Thursday,313.02
505,4,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-04-08,2021,4,8,Thursday,313.02
514,4,Hotel AU,Recife (PE),3,312.83,938.49,2021-06-10,2021,6,10,Thursday,312.83
517,4,Hotel BD,Natal (RN),4,242.88,971.52,2021-07-01,2021,7,1,Thursday,242.88
529,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-09-23,2021,9,23,Thursday,139.1
532,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2021-10-14,2021,10,14,Thursday,165.99
537,4,Hotel AU,Recife (PE),3,312.83,938.49,2021-11-18,2021,11,18,Thursday,312.83
541,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-12-16,2021,12,16,Thursday,165.99
543,4,Hotel BW,Campo Grande (MS),3,60.39,181.17,2021-12-30,2021,12,30,Thursday,60.39
545,4,Hotel BW,Campo Grande (MS),1,60.39,60.39,2022-01-13,2022,1,13,Thursday,60.39
548,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,2022-02-03,2022,2,3,Thursday,60.39
555,4,Hotel A,Florianopolis (SC),1,313.02,313.02,2022-03-24,2022,3,24,Thursday,313.02
556,4,Hotel K,Salvador (BH),3,263.41,790.23,2022-03-31,2022,3,31,Thursday,263.41
557,4,Hotel K,Salvador (BH),1,263.41,263.41,2022-04-07,2022,4,7,Thursday,263.41
559,4,Hotel K,Salvador (BH),2,263.41,526.82,2022-04-21,2022,4,21,Thursday,263.41
562,4,Hotel BD,Natal (RN),2,242.88,485.76,2022-05-12,2022,5,12,Thursday,242.88
564,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2022-05-26,2022,5,26,Thursday,165.99
565,4,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2022-06-02,2022,6,2,Thursday,165.99
574,4,Hotel BP,Brasilia (DF),4,247.62,990.48,2022-08-04,2022,8,4,Thursday,247.62
578,4,Hotel Z,Aracaju (SE),3,208.04,624.12,2022-09-01,2022,9,1,Thursday,208.04
581,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2022-09-22,2022,9,22,Thursday,165.99
582,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2022-09-29,2022,9,29,Thursday,139.1
586,4,Hotel K,Salvador (BH),2,263.41,526.82,2022-10-27,2022,10,27,Thursday,263.41
587,4,Hotel K,Salvador (BH),1,263.41,263.41,2022-11-03,2022,11,3,Thursday,263.41
588,4,Hotel BD,Natal (RN),2,242.88,485.76,2022-11-10,2022,11,10,Thursday,242.88
590,4,Hotel AU,Recife (PE),2,312.83,625.66,2022-11-24,2022,11,24,Thursday,312.83
591,4,Hotel AU,Recife (PE),4,312.83,1251.32,2022-12-01,2022,12,1,Thursday,312.83
596,4,Hotel BP,Brasilia (DF),1,247.62,247.62,2023-01-05,2023,1,5,Thursday,247.62
598,4,Hotel BD,Natal (RN),4,242.88,971.52,2023-01-19,2023,1,19,Thursday,242.88
604,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2023-03-02,2023,3,2,Thursday,139.1
605,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,2023-03-09,2023,3,9,Thursday,313.02
609,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,2023-04-06,2023,4,6,Thursday,60.39
619,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2023-06-15,2023,6,15,Thursday,165.99
621,4,Hotel BP,Brasilia (DF),4,247.62,990.48,2023-06-29,2023,6,29,Thursday,247.62
623,4,Hotel BD,Natal (RN),4,242.88,971.52,2023-07-13,2023,7,13,Thursday,242.88
624,5,Hotel K,Salvador (BH),2,263.41,526.82,2019-09-26,2019,9,26,Thursday,263.41
638,5,Hotel K,Salvador (BH),1,263.41,263.41,2020-01-02,2020,1,2,Thursday,263.41
643,5,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-02-06,2020,2,6,Thursday,139.1
644,5,Hotel K,Salvador (BH),1,263.41,263.41,2020-02-13,2020,2,13,Thursday,263.41
646,5,Hotel K,Salvador (BH),3,263.41,790.23,2020-02-27,2020,2,27,Thursday,263.41
648,5,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2020-03-12,2020,3,12,Thursday,165.99
658,5,Hotel BD,Natal (RN),1,242.88,242.88,2020-05-21,2020,5,21,Thursday,242.88
668,5,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-07-30,2020,7,30,Thursday,60.39
670,5,Hotel K,Salvador (BH),3,263.41,790.23,2020-08-13,2020,8,13,Thursday,263.41
676,5,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-09-24,2020,9,24,Thursday,313.02
680,5,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-10-22,2020,10,22,Thursday,139.1
683,5,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-11-12,2020,11,12,Thursday,139.1
687,5,Hotel Z,Aracaju (SE),1,208.04,208.04,2020-12-10,2020,12,10,Thursday,208.04
688,6,Hotel BD,Natal (RN),3,242.88,728.64,2019-09-26,2019,9,26,Thursday,242.88
690,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2019-10-10,2019,10,10,Thursday,139.1
695,6,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-11-14,2019,11,14,Thursday,313.02
696,6,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2019-11-21,2019,11,21,Thursday,165.99
698,6,Hotel AU,Recife (PE),1,312.83,312.83,2019-12-05,2019,12,5,Thursday,312.83
699,6,Hotel BW,Campo Grande (MS),4,60.39,241.56,2019-12-12,2019,12,12,Thursday,60.39
701,6,Hotel BP,Brasilia (DF),4,247.62,990.48,2019-12-26,2019,12,26,Thursday,247.62
707,6,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-02-06,2020,2,6,Thursday,313.02
711,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-03-05,2020,3,5,Thursday,139.1
712,6,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-03-12,2020,3,12,Thursday,313.02
718,6,Hotel K,Salvador (BH),4,263.41,1053.64,2020-04-23,2020,4,23,Thursday,263.41
719,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-04-30,2020,4,30,Thursday,139.1
723,6,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-05-28,2020,5,28,Thursday,247.62
739,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-09-17,2020,9,17,Thursday,139.1
745,6,Hotel K,Salvador (BH),1,263.41,263.41,2020-10-29,2020,10,29,Thursday,263.41
746,6,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2020-11-05,2020,11,5,Thursday,165.99
747,6,Hotel BD,Natal (RN),4,242.88,971.52,2020-11-12,2020,11,12,Thursday,242.88
749,6,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-11-26,2020,11,26,Thursday,313.02
753,6,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-12-24,2020,12,24,Thursday,247.62
754,6,Hotel BD,Natal (RN),2,242.88,485.76,2020-12-31,2020,12,31,Thursday,242.88
755,6,Hotel K,Salvador (BH),1,263.41,263.41,2021-01-07,2021,1,7,Thursday,263.41
762,6,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-02-25,2021,2,25,Thursday,165.99
767,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-04-01,2021,4,1,Thursday,139.1
778,7,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2019-11-21,2019,11,21,Thursday,139.1
787,7,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-01-23,2020,1,23,Thursday,60.39
788,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-01-30,2020,1,30,Thursday,60.39
793,7,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2020-03-05,2020,3,5,Thursday,165.99
795,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-03-19,2020,3,19,Thursday,60.39
803,7,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-05-14,2020,5,14,Thursday,60.39
805,7,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-05-28,2020,5,28,Thursday,208.04
806,7,Hotel AU,Recife (PE),3,312.83,938.49,2020-06-04,2020,6,4,Thursday,312.83
808,7,Hotel BD,Natal (RN),3,242.88,728.64,2020-06-18,2020,6,18,Thursday,242.88
809,7,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-06-25,2020,6,25,Thursday,247.62
812,7,Hotel BD,Natal (RN),2,242.88,485.76,2020-07-16,2020,7,16,Thursday,242.88
815,7,Hotel AU,Recife (PE),3,312.83,938.49,2020-08-06,2020,8,6,Thursday,312.83
817,7,Hotel BD,Natal (RN),2,242.88,485.76,2020-08-20,2020,8,20,Thursday,242.88
819,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-09-03,2020,9,3,Thursday,60.39
823,8,Hotel K,Salvador (BH),4,263.41,1053.64,2019-10-03,2019,10,3,Thursday,263.41
826,8,Hotel A,Florianopolis (SC),3,313.02,939.06,2019-10-24,2019,10,24,Thursday,313.02
827,8,Hotel AU,Recife (PE),4,312.83,1251.32,2019-10-31,2019,10,31,Thursday,312.83
830,8,Hotel BD,Natal (RN),4,242.88,971.52,2019-11-21,2019,11,21,Thursday,242.88
834,8,Hotel BP,Brasilia (DF),2,247.62,495.24,2019-12-19,2019,12,19,Thursday,247.62
836,8,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-01-02,2020,1,2,Thursday,139.1
838,8,Hotel BD,Natal (RN),1,242.88,242.88,2020-01-16,2020,1,16,Thursday,242.88
840,8,Hotel Z,Aracaju (SE),1,208.04,208.04,2020-01-30,2020,1,30,Thursday,208.04
852,8,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-04-23,2020,4,23,Thursday,313.02
857,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2020-05-28,2020,5,28,Thursday,165.99
861,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2020-06-25,2020,6,25,Thursday,165.99
862,8,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-07-02,2020,7,2,Thursday,165.99
864,8,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-07-16,2020,7,16,Thursday,247.62
865,8,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-07-23,2020,7,23,Thursday,60.39
869,8,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-08-20,2020,8,20,Thursday,247.62
871,8,Hotel BD,Natal (RN),4,242.88,971.52,2020-09-03,2020,9,3,Thursday,242.88
892,8,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-01-28,2021,1,28,Thursday,313.02
894,8,Hotel BP,Brasilia (DF),3,247.62,742.86,2021-02-11,2021,2,11,Thursday,247.62
900,8,Hotel BD,Natal (RN),2,242.88,485.76,2021-03-25,2021,3,25,Thursday,242.88
904,8,Hotel AU,Recife (PE),4,312.83,1251.32,2021-04-22,2021,4,22,Thursday,312.83
907,8,Hotel AU,Recife (PE),3,312.83,938.49,2021-05-13,2021,5,13,Thursday,312.83
911,8,Hotel BD,Natal (RN),4,242.88,971.52,2021-06-10,2021,6,10,Thursday,242.88
913,8,Hotel A,Florianopolis (SC),1,313.02,313.02,2021-06-24,2021,6,24,Thursday,313.02
914,8,Hotel BD,Natal (RN),3,242.88,728.64,2021-07-01,2021,7,1,Thursday,242.88
917,8,Hotel BD,Natal (RN),3,242.88,728.64,2021-07-22,2021,7,22,Thursday,242.88
919,8,Hotel BW,Campo Grande (MS),4,60.39,241.56,2021-08-05,2021,8,5,Thursday,60.39
920,8,Hotel BD,Natal (RN),4,242.88,971.52,2021-08-12,2021,8,12,Thursday,242.88
922,8,Hotel AU,Recife (PE),4,312.83,1251.32,2021-08-26,2021,8,26,Thursday,312.83
923,8,Hotel A,Florianopolis (SC),4,313.02,1252.08,2021-09-02,2021,9,2,Thursday,313.02
